benchmark_id,Model,ROC,precision at rank n,execution time
wine_benchmark_0078,LODA,0.5739,0.4435,0.042
wine_benchmark_0079,KNN,0.5685,0.4398,0.4435
wine_benchmark_0079,LOF,0.5649,0.4456,0.3273
wine_benchmark_0079,PCA,0.5579,0.4334,0.006
wine_benchmark_0079,LODA,0.5676,0.4377,0.037
wine_benchmark_0080,KNN,0.5445,0.413,0.4369
wine_benchmark_0080,LOF,0.5536,0.4248,0.3363
wine_benchmark_0080,PCA,0.5396,0.4059,0.006
wine_benchmark_0080,LODA,0.5623,0.4236,0.041
wine_benchmark_0081,KNN,0.5626,0.4287,0.4414
wine_benchmark_0081,LOF,0.5716,0.4306,0.3423
wine_benchmark_0081,PCA,0.5431,0.4218,0.006
wine_benchmark_0081,LODA,0.5484,0.4218,0.046
wine_benchmark_0082,KNN,0.5444,0.4018,0.4474
wine_benchmark_0082,LOF,0.5517,0.401,0.3561
wine_benchmark_0082,PCA,0.559,0.4357,0.007
wine_benchmark_0082,LODA,0.6005,0.4719,0.0571
wine_benchmark_0083,KNN,0.5555,0.4106,0.4494
wine_benchmark_0083,LOF,0.5662,0.421,0.3493
wine_benchmark_0083,PCA,0.5526,0.4269,0.006
wine_benchmark_0083,LODA,0.5885,0.4328,0.045
wine_benchmark_0084,KNN,0.5328,0.393,0.4364
wine_benchmark_0084,LOF,0.5471,0.4141,0.3163
wine_benchmark_0084,PCA,0.5474,0.4271,0.006
wine_benchmark_0084,LODA,0.4902,0.3814,0.039
wine_benchmark_0085,KNN,0.5621,0.417,0.4494
wine_benchmark_0085,LOF,0.5617,0.4064,0.3728
wine_benchmark_0085,PCA,0.5543,0.4132,0.006
wine_benchmark_0085,LODA,0.5564,0.4307,0.04
wine_benchmark_0086,KNN,0.5596,0.4255,0.4554
wine_benchmark_0086,LOF,0.556,0.4056,0.3538
wine_benchmark_0086,PCA,0.5535,0.416,0.006
wine_benchmark_0086,LODA,0.5648,0.4256,0.041
wine_benchmark_0087,KNN,0.5606,0.4297,0.4309
wine_benchmark_0087,LOF,0.5577,0.4148,0.3063
wine_benchmark_0087,PCA,0.56,0.444,0.006
wine_benchmark_0087,LODA,0.5851,0.452,0.035
wine_benchmark_0088,KNN,0.5681,0.4334,0.4534
wine_benchmark_0088,LOF,0.5624,0.4154,0.3225
wine_benchmark_0088,PCA,0.565,0.4364,0.006
wine_benchmark_0088,LODA,0.5615,0.4117,0.0421
wine_benchmark_0089,KNN,0.5483,0.4236,0.4264
wine_benchmark_0089,LOF,0.5593,0.4189,0.3318
wine_benchmark_0089,PCA,0.5584,0.4298,0.0065
wine_benchmark_0089,LODA,0.6377,0.4854,0.037
wine_benchmark_0090,KNN,0.557,0.4133,0.5115
wine_benchmark_0090,LOF,0.5671,0.4214,0.3904
wine_benchmark_0090,PCA,0.5525,0.414,0.005
wine_benchmark_0090,LODA,0.571,0.4185,0.045
wine_benchmark_0091,KNN,0.566,0.4323,0.4684
wine_benchmark_0091,LOF,0.5725,0.4416,0.3898
wine_benchmark_0091,PCA,0.5637,0.443,0.013
wine_benchmark_0091,LODA,0.5742,0.4246,0.037
wine_benchmark_0092,KNN,0.5485,0.4192,0.4389
wine_benchmark_0092,LOF,0.5569,0.4295,0.3058
wine_benchmark_0092,PCA,0.5572,0.4332,0.006
wine_benchmark_0092,LODA,0.5439,0.4288,0.044
wine_benchmark_0093,KNN,0.5552,0.4064,0.4254
