benchmark_id,Model,ROC,precision at rank n,execution time
imgseg_benchmark_0094,LOF,0.5069,0.4119,0.052
imgseg_benchmark_0094,PCA,0.6396,0.5064,0.003
imgseg_benchmark_0094,LODA,0.5334,0.4671,0.02
imgseg_benchmark_0095,KNN,0.4743,0.3753,0.1021
imgseg_benchmark_0095,LOF,0.5001,0.4219,0.054
imgseg_benchmark_0095,PCA,0.6441,0.5375,0.003
imgseg_benchmark_0095,LODA,0.5988,0.5112,0.021
imgseg_benchmark_0096,KNN,0.4763,0.388,0.0951
imgseg_benchmark_0096,LOF,0.5014,0.436,0.0535
imgseg_benchmark_0096,PCA,0.6381,0.522,0.003
imgseg_benchmark_0096,LODA,0.5733,0.518,0.025
imgseg_benchmark_0097,KNN,0.482,0.4423,0.0991
imgseg_benchmark_0097,LOF,0.4846,0.4442,0.054
imgseg_benchmark_0097,PCA,0.6547,0.5633,0.003
imgseg_benchmark_0097,LODA,0.5979,0.5803,0.021
imgseg_benchmark_0098,KNN,0.4722,0.3949,0.1021
imgseg_benchmark_0098,LOF,0.5151,0.4558,0.052
imgseg_benchmark_0098,PCA,0.6602,0.5501,0.002
imgseg_benchmark_0098,LODA,0.6314,0.5894,0.021
imgseg_benchmark_0099,KNN,0.4616,0.39,0.1001
imgseg_benchmark_0099,LOF,0.4891,0.4565,0.0551
imgseg_benchmark_0099,PCA,0.6423,0.5328,0.002
imgseg_benchmark_0099,LODA,0.5395,0.4517,0.02
imgseg_benchmark_0100,KNN,0.4908,0.3934,0.0989
imgseg_benchmark_0100,LOF,0.4832,0.4139,0.055
imgseg_benchmark_0100,PCA,0.6461,0.5298,0.003
imgseg_benchmark_0100,LODA,0.492,0.4549,0.021
imgseg_benchmark_0101,KNN,0.4505,0.3962,0.1041
imgseg_benchmark_0101,LOF,0.4949,0.4476,0.054
imgseg_benchmark_0101,PCA,0.6223,0.5314,0.002
imgseg_benchmark_0101,LODA,0.5319,0.4933,0.021
imgseg_benchmark_0102,KNN,0.4939,0.3902,0.1001
imgseg_benchmark_0102,LOF,0.4954,0.435,0.051
imgseg_benchmark_0102,PCA,0.6219,0.5061,0.003
imgseg_benchmark_0102,LODA,0.5792,0.4837,0.021
imgseg_benchmark_0103,KNN,0.4923,0.3802,0.1021
imgseg_benchmark_0103,LOF,0.4924,0.4132,0.053
imgseg_benchmark_0103,PCA,0.6522,0.531,0.002
imgseg_benchmark_0103,LODA,0.513,0.438,0.022
imgseg_benchmark_0104,KNN,0.4792,0.4098,0.1021
imgseg_benchmark_0104,LOF,0.4823,0.4235,0.049
imgseg_benchmark_0104,PCA,0.6668,0.5569,0.002
imgseg_benchmark_0104,LODA,0.6907,0.598,0.021
imgseg_benchmark_0105,KNN,0.488,0.4342,0.1001
imgseg_benchmark_0105,LOF,0.4965,0.4511,0.049
imgseg_benchmark_0105,PCA,0.6477,0.5564,0.003
imgseg_benchmark_0105,LODA,0.6306,0.6128,0.022
imgseg_benchmark_0106,KNN,0.4966,0.3929,0.1061
imgseg_benchmark_0106,LOF,0.5198,0.4433,0.0611
imgseg_benchmark_0106,PCA,0.6529,0.5357,0.003
imgseg_benchmark_0106,LODA,0.4994,0.3697,0.019
imgseg_benchmark_0107,KNN,0.4793,0.3972,0.1021
imgseg_benchmark_0107,LOF,0.4862,0.4209,0.055
imgseg_benchmark_0107,PCA,0.6334,0.5198,0.003
imgseg_benchmark_0107,LODA,0.6764,0.5593,0.02
imgseg_benchmark_0108,KNN,0.4858,0.3984,0.0981
imgseg_benchmark_0108,LOF,0.4954,0.4251,0.047
imgseg_benchmark_0108,PCA,0.6404,0.5364,0.003
imgseg_benchmark_0108,LODA,0.5905,0.504,0.021
imgseg_benchmark_0109,KNN,0.482,0.3947,0.1031
imgseg_benchmark_0109,LOF,0.4651,0.3947,0.053
imgseg_benchmark_0109,PCA,0.659,0.5481,0.003
imgseg_benchmark_0109,LODA,0.5073,0.4192,0.022
imgseg_benchmark_0110,KNN,0.4864,0.3829,0.1081
imgseg_benchmark_0110,LOF,0.5254,0.4481,0.052
imgseg_benchmark_0110,PCA,0.6349,0.5193,0.003
imgseg_benchmark_0110,LODA,0.6397,0.5825,0.02
imgseg_benchmark_0111,KNN,0.4875,0.3709,0.1021
imgseg_benchmark_0111,LOF,0.522,0.4406,0.051
imgseg_benchmark_0111,PCA,0.6172,0.5123,0.003
imgseg_benchmark_0111,LODA,0.3888,0.3217,0.022
imgseg_benchmark_0112,KNN,0.4856,0.4242,0.1051
imgseg_benchmark_0112,LOF,0.4861,0.4394,0.05
